date,temperature,humidity,luminosity
2022-11-10 15:47:38.299,23.0,35.5,179
2022-11-10 15:47:37.026,23.0,35.5,180
2022-11-10 15:47:36.021,23.0,35.5,180
2022-11-10 15:47:34.744,23.0,35.4,180
2022-11-10 15:47:33.744,23.0,35.4,179
2022-11-10 15:47:32.466,23.0,35.4,180
2022-11-10 15:47:31.462,23.0,35.4,179
2022-11-10 15:47:30.188,23.0,35.4,180
2022-11-10 15:47:29.184,23.0,35.4,180
2022-11-10 15:47:27.906,23.0,35.4,179
2022-11-10 15:47:26.903,23.0,35.4,179
2022-11-10 15:47:25.629,23.0,35.4,179
2022-11-10 15:47:24.625,23.0,35.4,180
2022-11-10 15:47:23.348,23.0,35.4,179
2022-11-10 15:47:22.348,23.0,35.4,179
2022-11-10 15:47:21.070,23.0,35.4,179
2022-11-10 15:47:20.067,23.0,35.4,178
2022-11-10 15:47:18.793,23.0,35.4,180
2022-11-10 15:47:17.789,23.0,35.4,179
2022-11-10 15:47:16.511,23.0,35.4,179
2022-11-10 15:47:15.508,23.0,35.4,178
2022-11-10 15:47:14.233,23.0,35.4,179
2022-11-10 15:47:13.229,23.0,35.4,179
2022-11-10 15:47:11.952,23.0,35.3,180
2022-11-10 15:47:10.951,23.0,35.3,179
2022-11-10 15:47:09.674,23.0,35.3,179
2022-11-10 15:47:08.671,23.0,35.3,179
2022-11-10 15:47:07.396,23.0,35.3,179
2022-11-10 15:47:06.392,23.0,35.3,179
2022-11-10 15:47:05.115,23.0,35.3,180
2022-11-10 15:47:04.112,23.0,35.3,180
2022-11-10 15:47:02.837,23.0,35.3,180
2022-11-10 15:47:01.833,23.0,35.3,179
2022-11-10 15:47:00.556,23.0,35.3,179
2022-11-10 15:46:59.556,23.0,35.3,179
2022-11-10 15:46:58.278,23.0,35.3,180
2022-11-10 15:46:57.274,23.0,35.3,180
2022-11-10 15:46:55.999,23.0,35.3,179
2022-11-10 15:46:54.996,23.0,35.3,179
2022-11-10 15:46:53.719,23.0,35.3,178
2022-11-10 15:46:52.718,23.0,35.3,178
2022-11-10 15:46:51.441,23.0,35.3,178
2022-11-10 15:46:50.438,23.0,35.3,178
2022-11-10 15:46:49.160,23.0,35.4,179
2022-11-10 15:46:48.159,23.0,35.4,179
2022-11-10 15:46:46.881,23.0,35.4,179
2022-11-10 15:46:45.878,23.0,35.4,180
2022-11-10 15:46:44.603,23.0,35.3,180
2022-11-10 15:46:43.600,23.0,35.3,180
2022-11-10 15:46:42.322,23.1,35.4,179
2022-11-10 15:46:41.322,23.1,35.4,180
