date,temperature,humidity,luminosity
2022-11-17 15:30:18.504,25.7,33.9,1309
2022-11-17 15:30:13.461,25.7,34.0,1306
2022-11-17 15:30:08.417,25.7,34.2,1298
2022-11-17 15:30:03.374,25.7,34.2,1298
2022-11-17 15:29:58.331,25.7,34.2,1226
2022-11-17 15:29:53.286,25.7,34.1,1305
2022-11-17 15:29:48.243,25.7,34.3,1308
2022-11-17 15:29:43.199,25.7,34.3,1305
2022-11-17 15:29:38.156,25.7,34.3,1304
2022-11-17 15:29:33.113,25.7,34.3,1303
2022-11-17 15:29:28.070,25.7,34.1,1306
2022-11-17 15:29:23.027,25.7,34.1,1312
2022-11-17 15:29:17.984,25.7,34.2,1304
2022-11-17 15:29:12.940,25.7,34.3,1306
2022-11-17 15:29:07.896,25.7,34.2,1310
2022-11-17 15:29:02.852,25.7,34.1,1308
2022-11-17 15:28:57.808,25.7,34.3,1308
2022-11-17 15:28:52.764,25.7,34.4,1310
2022-11-17 15:28:47.720,25.7,34.3,1309
2022-11-17 15:28:42.677,25.7,34.3,1310
2022-11-17 15:28:37.634,25.7,34.3,1307
2022-11-17 15:28:32.590,25.7,34.4,1306
2022-11-17 15:28:27.547,25.7,34.3,1307
2022-11-17 15:28:22.504,25.7,34.4,1307
2022-11-17 15:28:17.460,25.7,34.4,1310
2022-11-17 15:28:12.416,25.7,34.4,1309
2022-11-17 15:28:07.373,25.7,34.5,1309
2022-11-17 15:28:02.329,25.7,34.6,1309
2022-11-17 15:27:57.284,25.7,34.6,1307
2022-11-17 15:27:52.241,25.7,34.5,1308
2022-11-17 15:27:47.197,25.7,34.4,1310
2022-11-17 15:27:42.153,25.7,34.6,1308
2022-11-17 15:27:37.109,25.7,34.6,1307
2022-11-17 15:27:32.066,25.7,34.3,1307
2022-11-17 15:27:27.022,25.7,34.2,1309
2022-11-17 15:27:21.980,25.7,34.1,1311
2022-11-17 15:27:16.937,25.7,34.2,1307
2022-11-17 15:27:11.893,25.7,34.3,1310
2022-11-17 15:27:06.850,25.7,34.3,1310
2022-11-17 15:27:01.806,25.7,34.3,1309
2022-11-17 15:26:56.763,25.7,34.4,1307
2022-11-17 15:26:51.720,25.8,34.6,1306
2022-11-17 15:26:46.676,25.8,34.6,1305
2022-11-17 15:26:41.632,25.8,34.8,1305
2022-11-17 15:26:36.588,25.8,34.6,1306
2022-11-17 15:26:31.545,25.8,34.4,1286
2022-11-17 15:26:26.501,25.8,34.5,1304
2022-11-17 15:26:21.457,25.8,34.5,1249
2022-11-17 15:26:16.413,25.8,34.5,1218
2022-11-17 15:26:11.370,25.7,34.5,1212
2022-11-17 15:26:06.327,25.8,34.4,1306
2022-11-17 15:26:01.283,25.8,34.4,1305
2022-11-17 15:25:56.239,25.8,34.3,1304
2022-11-17 15:25:51.195,25.8,34.4,1307
2022-11-17 15:25:46.152,25.8,34.1,1308
2022-11-17 15:25:41.109,25.8,34.0,1305
2022-11-17 15:25:36.066,25.8,33.9,1308
2022-11-17 15:25:31.023,25.8,33.6,1309
2022-11-17 15:25:25.980,25.8,33.5,1311
2022-11-17 15:25:20.937,25.8,33.4,1311
2022-11-17 15:25:15.894,25.8,33.5,1309
2022-11-17 15:25:10.851,25.8,33.5,1308
2022-11-17 15:25:05.807,25.8,33.5,1307
2022-11-17 15:25:00.764,25.8,33.5,1308
2022-11-17 15:24:55.721,25.8,33.3,1308
2022-11-17 15:24:50.678,25.8,33.2,1310
2022-11-17 15:24:45.634,25.9,33.3,1310
2022-11-17 15:24:40.591,25.9,33.2,1307
2022-11-17 15:24:35.548,25.8,33.3,1307
2022-11-17 15:24:30.504,25.8,33.4,1309
2022-11-17 15:24:25.460,25.9,33.4,1311
2022-11-17 15:24:20.416,25.9,33.4,1312
2022-11-17 15:24:15.372,25.8,33.4,1311
2022-11-17 15:24:10.328,25.8,33.4,1309
2022-11-17 15:24:05.284,25.8,33.5,1311
2022-11-17 15:24:00.241,25.9,33.6,1302
2022-11-17 15:23:55.197,25.9,33.7,1302
2022-11-17 15:23:50.155,25.9,33.7,1301
2022-11-17 15:23:45.112,25.9,33.7,1308
2022-11-17 15:23:40.069,25.9,33.8,1290
2022-11-17 15:23:35.025,25.9,33.8,1294
2022-11-17 15:23:29.981,25.9,33.8,1292
2022-11-17 15:23:24.937,25.9,33.8,1310
2022-11-17 15:23:19.894,25.9,33.9,1312
2022-11-17 15:23:14.850,25.9,33.9,1305
2022-11-17 15:23:09.806,25.9,33.9,1313
2022-11-17 15:23:04.764,25.9,34.0,1313
2022-11-17 15:22:59.719,25.9,34.0,1312
2022-11-17 15:22:54.676,25.9,34.0,1312
2022-11-17 15:22:49.632,25.9,34.0,1310
2022-11-17 15:22:44.589,25.9,33.9,1310
2022-11-17 15:22:39.545,25.9,33.8,1309
2022-11-17 15:22:34.501,25.9,33.9,1308
2022-11-17 15:22:29.459,25.9,33.8,1309
2022-11-17 15:22:24.416,25.9,33.7,1309
2022-11-17 15:22:19.372,25.9,33.5,1310
2022-11-17 15:22:14.328,25.9,33.5,1310
2022-11-17 15:22:09.285,25.9,33.5,1310
2022-11-17 15:22:04.242,26.0,33.7,1312
2022-11-17 15:21:59.200,26.0,33.7,1311
2022-11-17 15:21:54.156,26.0,33.9,1311
2022-11-17 15:21:49.111,26.0,34.0,1318
2022-11-17 15:21:44.068,25.9,34.0,1310
2022-11-17 15:21:39.024,26.0,34.1,1307
2022-11-17 15:21:33.981,26.0,33.9,1308
2022-11-17 15:21:28.938,26.0,33.9,1310
2022-11-17 15:21:23.895,26.1,33.9,1314
2022-11-17 15:21:18.851,26.1,33.8,1309
2022-11-17 15:21:13.809,26.2,34.0,1309
2022-11-17 15:21:08.765,26.2,34.2,64
2022-11-17 15:21:03.721,26.2,34.3,14
2022-11-17 15:20:58.676,26.1,34.0,19
2022-11-17 15:20:53.633,26.0,33.4,21
2022-11-17 15:20:48.590,26.0,33.4,16
2022-11-17 15:20:43.547,26.0,33.5,46
2022-11-17 15:20:38.503,25.9,33.6,133
2022-11-17 15:20:33.459,25.9,33.7,253
2022-11-17 15:20:28.417,25.9,33.2,494
2022-11-17 15:20:23.373,25.9,33.2,1302
2022-11-17 15:20:18.330,25.9,33.0,1302
2022-11-17 15:20:13.287,25.9,33.0,1299
2022-11-17 15:20:08.245,25.9,33.0,1299
2022-11-17 15:20:03.201,25.9,33.1,1300
2022-11-17 15:19:58.157,25.9,33.2,1299
2022-11-17 15:19:53.113,25.9,33.0,1298
2022-11-17 15:19:48.069,25.9,33.1,1298
2022-11-17 15:19:43.026,25.9,33.1,1298
2022-11-17 15:19:37.982,26.0,33.0,1298
2022-11-17 15:19:32.940,26.0,33.0,1298
2022-11-17 15:19:27.897,26.0,33.0,1300
2022-11-17 15:19:22.854,26.0,33.1,1302
2022-11-17 15:19:17.811,26.0,32.9,1304
2022-11-17 15:19:12.768,26.0,33.0,1303
2022-11-17 15:19:07.725,26.0,33.0,1303
2022-11-17 15:19:02.682,26.0,32.9,1303
2022-11-17 15:18:57.639,26.0,33.0,1198
2022-11-17 15:18:52.595,26.0,33.0,1215
2022-11-17 15:18:47.551,26.0,33.1,1213
2022-11-17 15:18:42.509,26.0,33.1,1288
2022-11-17 15:18:37.465,26.0,33.1,1304
2022-11-17 15:18:32.421,26.1,33.2,1304
2022-11-17 15:18:27.378,26.1,33.2,1302
2022-11-17 15:18:22.334,26.1,33.1,1301
2022-11-17 15:18:17.291,26.1,33.3,1301
2022-11-17 15:18:12.248,26.1,33.3,1298
2022-11-17 15:18:07.206,26.1,33.1,1298
2022-11-17 15:18:02.162,26.1,33.1,1303
2022-11-17 15:17:57.119,26.1,32.8,1305
2022-11-17 15:17:52.075,26.1,32.9,1296
2022-11-17 15:17:47.032,26.1,32.9,1298
2022-11-17 15:17:41.989,26.1,32.8,1295
2022-11-17 15:17:36.945,26.1,32.9,1295
2022-11-17 15:17:31.902,26.1,33.0,1294
2022-11-17 15:17:26.860,26.1,33.2,1293
2022-11-17 15:17:21.816,26.1,33.3,1296
2022-11-17 15:17:16.773,26.1,33.2,1297
2022-11-17 15:17:11.730,26.1,33.3,1295
2022-11-17 15:17:06.687,26.2,33.4,1291
2022-11-17 15:17:01.643,26.1,33.4,1292
2022-11-17 15:16:56.600,26.1,33.4,1292
2022-11-17 15:16:51.556,26.1,33.4,1295
2022-11-17 15:16:46.512,26.1,33.4,1296
2022-11-17 15:16:41.468,26.1,33.4,1296
2022-11-17 15:16:36.424,26.2,33.3,1228
2022-11-17 15:16:31.381,26.1,33.2,1295
2022-11-17 15:16:26.337,26.2,33.1,1296
2022-11-17 15:16:21.294,26.2,33.1,1296
2022-11-17 15:16:16.251,26.1,33.0,1295
2022-11-17 15:16:11.207,26.1,33.2,1296
2022-11-17 15:16:06.164,26.1,33.1,1294
2022-11-17 15:16:01.120,26.1,33.1,1291
2022-11-17 15:15:56.076,26.1,33.2,1261
2022-11-17 15:15:51.032,26.1,33.2,1297
2022-11-17 15:15:45.988,26.1,33.2,1298
2022-11-17 15:15:40.945,26.1,33.1,1300
2022-11-17 15:15:35.902,26.2,33.3,1299
2022-11-17 15:15:30.859,26.2,33.3,1299
2022-11-17 15:15:25.815,26.2,33.4,1298
2022-11-17 15:15:20.772,26.2,33.5,1298
2022-11-17 15:15:15.728,26.2,33.5,1296
2022-11-17 15:15:10.685,26.2,33.6,1294
2022-11-17 15:15:05.641,26.2,33.6,1208
2022-11-17 15:15:00.597,26.2,33.6,1293
2022-11-17 15:14:55.553,26.2,33.6,522
2022-11-17 15:14:50.509,26.2,33.5,50
2022-11-17 15:14:45.465,26.2,33.4,267
2022-11-17 15:14:40.422,26.2,33.5,1291
2022-11-17 15:14:35.379,26.2,33.4,1270
2022-11-17 15:14:30.336,26.3,33.6,1295
2022-11-17 15:14:25.292,26.2,33.9,1268
2022-11-17 15:14:20.248,26.3,34.2,1214
2022-11-17 15:14:15.204,26.3,34.5,1295
2022-11-17 15:14:10.160,26.4,34.8,1295
2022-11-17 15:14:05.116,26.2,32.8,173
2022-11-17 15:14:00.072,26.2,32.8,1026
2022-11-17 15:13:55.028,26.2,32.8,1297
2022-11-17 15:13:49.985,26.2,32.7,1295
2022-11-17 15:13:44.941,26.2,32.8,1320
2022-11-17 15:13:39.898,26.2,32.9,1319
2022-11-17 15:13:34.855,26.2,32.9,1320
2022-11-17 15:13:29.812,26.2,32.9,1321
2022-11-17 15:13:24.768,26.2,33.0,1318
2022-11-17 15:13:19.724,26.2,32.9,1319
2022-11-17 15:13:14.680,26.2,33.1,1321
2022-11-17 15:13:09.636,26.2,32.9,1317
2022-11-17 15:13:04.593,26.3,33.0,1319
2022-11-17 15:12:59.550,26.3,33.2,1317
2022-11-17 15:12:54.507,26.3,33.0,1317
2022-11-17 15:12:49.464,26.3,33.1,1312
2022-11-17 15:12:44.421,26.3,33.1,1314
2022-11-17 15:12:39.378,26.3,33.0,1320
2022-11-17 15:12:34.335,26.3,33.0,1320
2022-11-17 15:12:29.292,26.3,33.0,1317
2022-11-17 15:12:24.248,26.3,33.0,1314
2022-11-17 15:12:19.205,26.3,33.0,1324
2022-11-17 15:12:14.161,26.3,33.2,1321
2022-11-17 15:12:09.117,26.3,33.1,1241
2022-11-17 15:12:04.075,26.3,33.2,1242
2022-11-17 15:11:59.032,26.3,33.3,1321
2022-11-17 15:11:53.989,26.3,33.4,1323
2022-11-17 15:11:48.946,26.3,33.6,1319
2022-11-17 15:11:43.903,26.3,33.6,1318
2022-11-17 15:11:38.860,26.4,33.7,1319
2022-11-17 15:11:33.817,26.4,33.4,1324
2022-11-17 15:11:28.773,26.4,33.3,1322
2022-11-17 15:11:23.729,26.4,32.9,1321
2022-11-17 15:11:18.685,26.5,32.9,1319
2022-11-17 15:11:13.641,26.5,32.9,1320
2022-11-17 15:11:08.597,26.5,32.7,1319
2022-11-17 15:11:03.553,26.5,32.8,1321
2022-11-17 15:10:58.510,26.5,33.0,1323
2022-11-17 15:10:53.467,26.5,33.2,1324
2022-11-17 15:10:48.424,26.5,33.4,1317
2022-11-17 15:10:43.381,26.5,33.7,1319
2022-11-17 15:10:38.338,26.5,33.7,1321
2022-11-17 15:10:33.294,26.6,33.9,1325
2022-11-17 15:10:28.250,26.5,34.2,659
2022-11-17 15:10:23.207,26.5,34.6,848
2022-11-17 15:10:18.164,26.6,34.9,875
2022-11-17 15:10:13.120,26.6,35.5,886
